台灣,#genre#	
TVBS歡樂台,mitv://ns2.hellotvvod.com:9906/b1cad2a261034f8596fbbe2e6752455e
緯來戲劇台,mitv://ns2.hellotvvod.com:9906/c9cde0e03c7040c7a1b2594aece22b8b
高點綜合台,mitv://ns2.hellotvvod.com:9906/06b309640fa243f7a3b55b709c854659
BBC World News,mitv://ns2.hellotvvod.com:9906/5d0f572750d0499f925741f0783c9a18
Al Jazeera English,mitv://ns2.hellotvvod.com:9906/de3d8a601336484580b2ef4692ae5106
CNBC,mitv://ns2.hellotvvod.com:9906/4a91c59539144948b110a2747e0e98a3
Bloomberg TV,mitv://ns2.hellotvvod.com:9906/b82e05360620498baf6a6c1bc3b482e2
HITS,mitv://ns2.hellotvvod.com:9906/c3a2b701984f4390bb1e0ef6e3720964
壹電視新聞台,mitv://ns2.hellotvvod.com:9906/3d8f90da411f4c67b300bbe9beeeb84d
年代新聞,mitv://ns2.hellotvvod.com:9906/e05fb82291b24120ab3741cf7cf4bc67
東森新聞台,mitv://ns2.hellotvvod.com:9906/147380ce29e74968b92a70e77aa0f187
中天新聞台,mitv://ns2.hellotvvod.com:9906/93595aee997d4ccc88086cf1a5845308
民視新聞台,mitv://ns2.hellotvvod.com:9906/4ce810bb89d34dc6914540afdf99df1a
三立新聞台,mitv://ns2.hellotvvod.com:9906/e18861811355481ea148a3c9b1f62f2f
TVBS新聞台,mitv://ns2.hellotvvod.com:9906/99050a9f237f4d12b8c58ec75f5ce28d
TVBS,mitv://ns2.hellotvvod.com:9906/2ca78b88daf349c58ff1e4cc13c476b9
東森財經新聞台,mitv://ns2.hellotvvod.com:9906/15c0846f936a4dbdbbea906532b97745
非凡新聞台,mitv://ns2.hellotvvod.com:9906/e15b4d2138be4258bf15956121112093
衛視電影台,mitv://ns2.hellotvvod.com:9906/4e2bd680955f4318a45f56673987b538
東森電影台,mitv://ns2.hellotvvod.com:9906/7890e24834674171963590dcbed81807
緯來電影台,mitv://ns2.hellotvvod.com:9906/8d5f0b34a4ef4294baa4f7abd4d57633
龍祥電影,mitv://ns2.hellotvvod.com:9906/2bc6ea6e8d4e425e9cf1fc3a6f67dae7
HBO,mitv://ns2.hellotvvod.com:9906/23e7c175d3b84aa4a09b11da7728e6c6
東森洋片台,mitv://ns2.hellotvvod.com:9906/ed5d4dd8df7b49e8a3c32ee87ac0f0a9
AXN,mitv://ns2.hellotvvod.com:9906/6df097e19eda48fe9551f23165de566a
好萊塢電影台,mitv://ns2.hellotvvod.com:9906/af3c84e2e12a41509a6ebf03c5025d34
CINEMAX,mitv://ns2.hellotvvod.com:9906/8ef94bb8647c4861824ed83764892b49
緯來育樂台,mitv://ns2.hellotvvod.com:9906/71aa27c85d864599be1ef0bad6285988
緯來體育台,mitv://ns2.hellotvvod.com:9906/da3a707a9e174214aecb8763161d12fb
ELEVEN體育1台,mitv://ns2.hellotvvod.com:9906/ec1d89d02e1c4bf1a8c7958cb0b742e3
緯來日本,mitv://ns2.hellotvvod.com:9906/8a4467bd9ad241d59f34c0d3a1d0d229
國興衛視,mitv://ns2.hellotvvod.com:9906/0615ca9308ee47f29216d1d34e2ea7bb
FOX,mitv://ns2.hellotvvod.com:9906/8dbedf9f2e6e4206a00e2892fb188844
Z頻道,mitv://ns2.hellotvvod.com:9906/f2466919063343d9aae586477d02a0f1
Animax,mitv://ns2.hellotvvod.com:9906/7cf6be51de3c41eea8bca6abe09d4088
尼克兒童頻道,mitv://ns2.hellotvvod.com:9906/1eddd9055552414f9d74b16d7a708731
MTV,mitv://ns2.hellotvvod.com:9906/d8cbba821cdb431aa1691ae90a017671
八大娛樂台,mitv://ns2.hellotvvod.com:9906/dacfe42aaf8144a88d2941113d8a567c
三立iNEWS,mitv://ns2.hellotvvod.com:9906/70dd1af461964815b1b2f8007136799e
龍華偶像,mitv://ns2.hellotvvod.com:9906/54e3f479b33c41d08ab9d13dc925f465
Arirang,mitv://ns2.hellotvvod.com:9906/9f06c07240374cf291823e5cae15f1f9
tvN,mitv://ns2.hellotvvod.com:9906/2d1a155e01754041ab803700226006e1
DW,mitv://ns2.hellotvvod.com:9906/92d00a4c964b414a9300f3dd0a09460d
France24,mitv://ns2.hellotvvod.com:9906/4b78e0d5ba6f40519c4dcde5f940104d
非凡商業台,mitv://ns2.hellotvvod.com:9906/c30da1ccb3bf49699e43917589a43b14
公視3台,mitv://ns2.hellotvvod.com:9906/74bb6a80c5b84933b280a79355faa69b
大愛2台,mitv://ns2.hellotvvod.com:9906/aa57be0f37724ffc9100e000316f8be2
ELTV生活英語台,mitv://ns2.hellotvvod.com:9906/0febd343ce7a423b87241d85637558ca
靖洋卡通Nice Bingo,mitv://ns2.hellotvvod.com:9906/c8d087808ab44789a190611053973984
靖天卡通台,mitv://ns2.hellotvvod.com:9906/a371b4e1b0cb4ea0b6f9dedda6fafb28
達文西頻道,mitv://ns2.hellotvvod.com:9906/b52d5610f7ab46899195d389a3a47cfb
Nick Jr.,mitv://ns2.hellotvvod.com:9906/6c97e0b2e6f24d348dc40cc2c0966cb2
國會頻道1,mitv://ns2.hellotvvod.com:9906/960810265d3c4f6db1cee27872e6770e
國會頻道2,mitv://ns2.hellotvvod.com:9906/a0f67bbd703f457c89e03293d138817b
MTV Live,mitv://ns2.hellotvvod.com:9906/e0eb4e7437ac4a03871ae161eb33d817
Mezzo Live,mitv://ns2.hellotvvod.com:9906/f29c44058e114cf7a03a9b504eaa38e9
CLASSICA 古典樂,mitv://ns2.hellotvvod.com:9906/f2e1b6b8965848e2b1ad353e80bc8154
CMusic,mitv://ns2.hellotvvod.com:9906/5ce1944aa81745b292d3224f0e966462
愛爾達體育1台(備),mitv://ns2.hellotvvod.com:9906/97a71c06dcda477595c3f345bd0f3dcf
愛爾達體育2台(備),mitv://ns2.hellotvvod.com:9906/c766e42fa48a4f9391f809acab5790dd
愛爾達體育3台(備),mitv://ns2.hellotvvod.com:9906/610f7088e51748408defd2e6ccd99a2d
TRACE Sport Stars,mitv://ns2.hellotvvod.com:9906/e691e86e96ab4f9fb5b3bd2a8b476dec
博斯高球,mitv://ns2.hellotvvod.com:9906/2ffe1c43c0a3447683c945e4a9c61ca9
博斯高球二台,mitv://ns2.hellotvvod.com:9906/81e5d5641d224769af90e88b2909ece9
博斯網球台,mitv://ns2.hellotvvod.com:9906/5acd116aa87344338218524571a148f4
博斯魅力網,mitv://ns2.hellotvvod.com:9906/d5019acf6a644a748154d6a2410b3d4c
博斯無限台,mitv://ns2.hellotvvod.com:9906/0bf0a32ddc3541e68d0519b65d3a5735
博斯無限二台,mitv://ns2.hellotvvod.com:9906/a76b5c27a906439f801014b6facabb7c
博斯運動,mitv://ns2.hellotvvod.com:9906/6a11eea02c0449939007a3cbb5ea1985
ELEVEN體育2台,mitv://ns2.hellotvvod.com:9906/b070469379d84619adf847733e124b6d
智林體育台,mitv://ns2.hellotvvod.com:9906/baa362b4a9584696b05fb7520d5e0487
博斯運動二台,mitv://ns2.hellotvvod.com:9906/b0ea621d3eb94aa7858c4ea35d4a29ef
OUTDOOR,mitv://ns2.hellotvvod.com:9906/692de4ad5ef640e2a13fcd3f3239e279
HBO強檔鉅獻,mitv://ns2.hellotvvod.com:9906/9edcb82cc2a84a5898f31bf4ced0ea3c
HBO原創鉅獻,mitv://ns2.hellotvvod.com:9906/b0de5b1a20b748d3992a515962f819f2
國家地理高畫質野生頻道,mitv://ns2.hellotvvod.com:9906/59d2b17554cb4f2fa4e2425fc92507cd
BBC Earth,mitv://ns2.hellotvvod.com:9906/39e631dd6a264fb9936c2d44331963f1
Discovery Asia,mitv://ns2.hellotvvod.com:9906/ea73dbf0807a4546a0819d2f9beb0f89
Discovery科學頻道,mitv://ns2.hellotvvod.com:9906/7c4880286d6843df9550bfff7546d422
DMAX,mitv://ns2.hellotvvod.com:9906/c24c1a45170348e9a331f53db22af026
EVE,mitv://ns2.hellotvvod.com:9906/f54863ae08e74a56902c972cf0fd3977
HISTORY 2,mitv://ns2.hellotvvod.com:9906/289553adc81e4392902eabc177f60109
歷史頻道,mitv://ns2.hellotvvod.com:9906/8187bd13a5204516962028cbab9094af
罪案偵緝頻道,mitv://ns2.hellotvvod.com:9906/fade642a666545e28a50a459ba3fac5f
BBC Lifestyle,mitv://ns2.hellotvvod.com:9906/4128787653534f7aaa1583ca2206ecd0
LUXE TV,mitv://ns2.hellotvvod.com:9906/6209e66f50724026999e51a33cef74f1
Lifetime,mitv://ns2.hellotvvod.com:9906/d48a1e04ce0643e185c527189f7c19b2
KLT-靖天國際台,mitv://ns2.hellotvvod.com:9906/c9435ac3587f464984c6ec2e333cdd22
HGTV居家樂活頻道,mitv://ns2.hellotvvod.com:9906/8290d8d664564e4c994914a524798747
Love Nature,mitv://ns2.hellotvvod.com:9906/c90a752e257b4d20b40e664238ab9aba
美食星球,mitv://ns2.hellotvvod.com:9906/4d492f36e4d849bc889b511a61ef2592
亞洲美食頻道,mitv://ns2.hellotvvod.com:9906/30bc9ead81084b3e93de4c3b3dea5bcf
亞洲旅遊台,mitv://ns2.hellotvvod.com:9906/7dff57818d334ce6a00899b8fdaf8ac8
EYE TV旅遊台,mitv://ns2.hellotvvod.com:9906/42bd4d76298542b29c85194600a49f9b
時尚頻道,mitv://ns2.hellotvvod.com:9906/81adfbd3bd0a4a2b8cf59262008c728d
好消息2台,mitv://ns2.hellotvvod.com:9906/3b55dbe16cf447d68c6847d0035ffead
三立綜合台,mitv://ns2.hellotvvod.com:9906/5b61337baea64d5db8857256edd4c2c6
靖天資訊台,mitv://ns2.hellotvvod.com:9906/cad1e5cf30804596acb4128cc4cfbc94
靖天綜合台,mitv://ns2.hellotvvod.com:9906/49c0055caac64000a40d34d28e487744
靖天育樂台,mitv://ns2.hellotvvod.com:9906/5d65b1266b774a4fa4716e379fd4a506
中視經典台,mitv://ns2.hellotvvod.com:9906/e26b068b5cdd4a4a8322a80c4c3695fc
中視菁采台,mitv://ns2.hellotvvod.com:9906/553516a8aad1462f9a1f5349ef1e636b
TVBS精采台,mitv://ns2.hellotvvod.com:9906/6994744d955d4b98acd5a848f46e1dcb
壹電視綜合,mitv://ns2.hellotvvod.com:9906/a7a038d88d004dffb4104ed214084c95
緯來精采,mitv://ns2.hellotvvod.com:9906/b03b8f439a7743d3a5e79453c7145056
ETtoday綜合台,mitv://ns2.hellotvvod.com:9906/a496c0975cd344b4be5d6b84148c23b7
民視第一台,mitv://ns2.hellotvvod.com:9906/5c0f66355af64e818f5651a4d8a2ad86
民視台灣台,mitv://ns2.hellotvvod.com:9906/068a07d3f00b4e029c207966f7175aa8
Nice TV靖天歡樂台,mitv://ns2.hellotvvod.com:9906/d770af9d02ff4239b45f94e8460f5107
八大優頻道,mitv://ns2.hellotvvod.com:9906/984d8e633d2a4816b0df7aa3aedea722
三立戲劇台,mitv://ns2.hellotvvod.com:9906/b608590a8afe428cb3f90fceeed995c5
龍華戲劇,mitv://ns2.hellotvvod.com:9906/9d85dcf1467c46b9825ebddde87927a4
靖天戲劇台,mitv://ns2.hellotvvod.com:9906/069bd4052ce04a8ba232f7e2d6248f9f
靖洋戲劇台,mitv://ns2.hellotvvod.com:9906/4b1f5395574d4c32ac105943a563a23f
靖天日本台,mitv://ns2.hellotvvod.com:9906/0a71971a43c64d69b7167af09dda1686
i-Fun動漫台,mitv://ns2.hellotvvod.com:9906/f97329f9c0904d8ba75ea6e288763146
韓國娛樂台,mitv://ns2.hellotvvod.com:9906/db801c91a6fa4f2fbc32d8a1f5544dd5
星衛娛樂台,mitv://ns2.hellotvvod.com:9906/2d010d31014341e485a7712faa638126
ROCK Extreme,mitv://ns2.hellotvvod.com:9906/a76ae804a7fa4c4880abbeaa94441b56
中視新聞台,mitv://ns2.hellotvvod.com:9906/d8fa1207e9af4e2cac0d8b21d0fea125
寰宇新聞台,mitv://ns2.hellotvvod.com:9906/881dfe2b2f5248808a04f392354d6f91
華視新聞,mitv://ns2.hellotvvod.com:9906/598fad8518624e39ba8feb681eaf7992
NHK新聞資訊台,mitv://ns2.hellotvvod.com:9906/7e89cd6db97e4fadb777f26c51b4176f
美亞電影台HD,mitv://ns2.hellotvvod.com:9906/c4878b4b726042f9b03581e5d1f92709
龍華電影,mitv://ns2.hellotvvod.com:9906/be7342dc019a4556ac361bf2e836c0a6
星衛HD電影台,mitv://ns2.hellotvvod.com:9906/8fc7b7e098224cafb6af86596721d484
靖天映畫,mitv://ns2.hellotvvod.com:9906/e57d03673c794aa989b30e0b55e3fc10
靖天電影台,mitv://ns2.hellotvvod.com:9906/493060f601ae46969b1f0f8e47ef8639
WARNER TV,mitv://ns2.hellotvvod.com:9906/42a8bf224cbe46fe887bf91d5ab9ea9b
Star Movies HD,mitv://ns2.hellotvvod.com:9906/ab1c26066826425ebfce6eb34775452e
AMC最愛電影,mitv://ns2.hellotvvod.com:9906/3d79d29f832a46b89242aad0eb21ccac
HBO Family,mitv://ns2.hellotvvod.com:9906/5eee8706c3d24a259dab608e3e42301d
CatchPlay電影台,mitv://ns2.hellotvvod.com:9906/ad9e90e6f39a40c7883e87ee34626af8
CinemaWorld,mitv://ns2.hellotvvod.com:9906/181b72bd46e74b74a72b6fc6ee372201
壹電視電影台,mitv://ns2.hellotvvod.com:9906/2491bdd4fb6a47f3a49592f9d896edc3
采昌影劇台,mitv://ns2.hellotvvod.com:9906/3f1eb3f3bc8d43cca77136849e9b7a9e
佛衛慈悲台,mitv://ns2.hellotvvod.com:9906/b7ee1147e6354118b8b6305721c38056
TV5Monde,mitv://ns2.hellotvvod.com:9906/b90a488663524d9d9484bd56bc28e16c
Cbeebies,mitv://ns2.hellotvvod.com:9906/788e31544cdd4cdb9f4ed95c4ae47036
EYE TV戲劇台,mitv://ns2.hellotvvod.com:9906/084c28cda3384bfbbf1a2a95ce0acb35
台視新聞台,mitv://ns2.hellotvvod.com:9906/6804dfb352254402a87e429a19c6ec4c
寰宇新聞台灣台,mitv://ns2.hellotvvod.com:9906/95bc0f5961ef48fe8a942b989cbb7339
台視財經台,mitv://ns2.hellotvvod.com:9906/494eb5b5646743cbad68334f0a708b6c
愛爾達綜合台,mitv://ns2.hellotvvod.com:9906/da752c2b130d41c199d78a0a5003871c
愛爾達影劇台,mitv://ns2.hellotvvod.com:9906/035a5084c27145d197b6572d1078d890
ROCK Entertainment,mitv://ns2.hellotvvod.com:9906/83d232a451214120b9dac37d9504c6e3
民視(備),mitv://ns2.hellotvvod.com:9906/9d360cfac1dd4906b9b54681a7f57b4e
三立台灣台(備),mitv://ns2.hellotvvod.com:9906/5615cc482e7b48ee8bdd53bae0c6a479
Dreamworks,mitv://ns2.hellotvvod.com:9906/945d49aabe4f4ed7921abc82a9589135
TV5MONDE Style 生活時尚,mitv://ns2.hellotvvod.com:9906/51684b19b96540e79ca412960b6d17d9
Travel Channel,mitv://ns2.hellotvvod.com:9906/749acb8f1af8427c934ec5cd03addb4a
影迷數位電影台,mitv://ns2.hellotvvod.com:9906/fed84df1940a441c9e2007234311ee9b
衛視中文台,mitv://ns2.hellotvvod.com:9906/8772991199db4847abaa1ef06b690b1e
愛爾達體育1台,mitv://ns2.hellotvvod.com:9906/8bbc0fed9a014a5cae3e1537fafe7b15
愛爾達體育2台,mitv://ns2.hellotvvod.com:9906/9c0ce7c0407747ffa18dedf01afda650
愛爾達體育3台,mitv://ns2.hellotvvod.com:9906/2c3f014567d2474ebaaaa234bf9f21dc
台視(備),mitv://ns2.hellotvvod.com:9906/4ba50029b33b40bc856ecb0c617d845d
大愛(備),mitv://ns2.hellotvvod.com:9906/ae3f34263b514e4eaeee43d69ed79188
中視(備),mitv://ns2.hellotvvod.com:9906/bc62c1f60e6247e480687a356446e6a7
華視(備),mitv://ns2.hellotvvod.com:9906/17115b97554c4b4c8c3110d0b49844ec
公視(備),mitv://ns2.hellotvvod.com:9906/771f8f5f3b714ae08db92bac5d78a9ce
東森新聞台(備),mitv://ns2.hellotvvod.com:9906/6aa316ae7ed5496a8e3c58513598c15b
鏡新聞,mitv://ns2.hellotvvod.com:9906/53c8ec130ee94a6ab4332094a5a39641
中國,#genre#	
CCTV1,mitv://ns2.hellotvvod.com:9906/e6ec92ecaa294146a0f0d3908c6d960b
CCTV2,mitv://ns2.hellotvvod.com:9906/4a7225dbc73946c7be11dbad27c4afc3
CCTV3,mitv://ns2.hellotvvod.com:9906/efb27a40af9640e5806920b3622a4ade
CCTV4,mitv://ns2.hellotvvod.com:9906/130201f6c7ca4f1e84913e2d923e1f46
CCTV5,mitv://ns2.hellotvvod.com:9906/8526a551144a433f95744cc47911d24e
CCTV5+,mitv://ns2.hellotvvod.com:9906/53b16f1dbf2549a1a821a6b9f6409c87
CCTV6,mitv://ns2.hellotvvod.com:9906/46964e44dd7040ec8645e1435852c9f1
CCTV7,mitv://ns2.hellotvvod.com:9906/740d728db2f44c39951457337c707ca8
CCTV8,mitv://ns2.hellotvvod.com:9906/fb44038935f4450ca77c0967ed3f7202
CCTV9,mitv://ns2.hellotvvod.com:9906/54ca902d36af43d2a7e2b3c73331c527
CCTV10,mitv://ns2.hellotvvod.com:9906/56765d447a794456b7f029310642eb7b
CCTV11,mitv://ns2.hellotvvod.com:9906/d41172ea77614168ac60772a98bbcd08
CCTV12,mitv://ns2.hellotvvod.com:9906/e6c1788e00644f369cccc588b2a12ab7
CCTV13,mitv://ns2.hellotvvod.com:9906/b9eafde0023041b1a4ecc8e08d8e83a3
CCTV14,mitv://ns2.hellotvvod.com:9906/05f361fddd3e4d548b2d160d99ac55a1
CCTV15,mitv://ns2.hellotvvod.com:9906/dcc6e52697a14932981c371c2cf1ecc3
北京衛視,mitv://ns2.hellotvvod.com:9906/9eaa58488ac04bbba4436b2e9fd3376b
天津衛視,mitv://ns2.hellotvvod.com:9906/332435d7bd63470098fbbf22939cdbd1
河北衛視,mitv://ns2.hellotvvod.com:9906/e8d4abe0c65246ebb3e4995c4dcca040
黑龍江衛視,mitv://ns2.hellotvvod.com:9906/6c88d114fb9e4ef4822ce8658bda1fe1
遼寧衛視,mitv://ns2.hellotvvod.com:9906/2aff6cf8bb0e4debbe86bb9522a45e6b
東方衛視,mitv://ns2.hellotvvod.com:9906/58ff7bb773054941bc1a8c75ef2c00a7
江蘇衛視,mitv://ns2.hellotvvod.com:9906/d456b9383cf24bdcb64838bc44b34d59
浙江衛視,mitv://ns2.hellotvvod.com:9906/f8ead9fb57a0447ea65ea2dc1044c696
江西衛視,mitv://ns2.hellotvvod.com:9906/8e4b00a064854047a958c22b67076d93
山東衛視,mitv://ns2.hellotvvod.com:9906/aeb93c40fec04545971da4293129f37b
東南衛視,mitv://ns2.hellotvvod.com:9906/bb550cf47f2e40e987ac0fcd6225996d
湖北衛視,mitv://ns2.hellotvvod.com:9906/b23aae3593344bda89b6c30b0c926d00
湖南衛視,mitv://ns2.hellotvvod.com:9906/be32d4b756504c77a7d6c3486ff5d563
深圳衛視,mitv://ns2.hellotvvod.com:9906/26918658d1104593a1b4b265475821cd
廣東衛視,mitv://ns2.hellotvvod.com:9906/d1da5b0116bc4f509e354a710cac9ff4
廣西衛視,mitv://ns2.hellotvvod.com:9906/20331c377e35491199eaf645cba04b8b
重慶衛視,mitv://ns2.hellotvvod.com:9906/d28f97a16c2b4dc0947212218dbf7d53
雲南衛視,mitv://ns2.hellotvvod.com:9906/1b33091e58c2432aadeaf60045212358
星空衛視,mitv://ns2.hellotvvod.com:9906/c33e796edcb44e1dbd87ff7f40cfb93a
廣東南方衛視,mitv://ns2.hellotvvod.com:9906/2e50d9e8f71e4c2e945bcab73ab48e2f
珠江台,mitv://ns2.hellotvvod.com:9906/a7001a398b574c33a3cd2854cb268aed
金鷹卡通,mitv://ns2.hellotvvod.com:9906/7f69cd9398984abeb1369fdc27429b13
魅力足球,mitv://ns2.hellotvvod.com:9906/ad85e4b5109f41acb25b4b577344840d
五星體育,mitv://ns2.hellotvvod.com:9906/42f9fc13176446349fbea64b41e036b9
廣東體育,mitv://ns2.hellotvvod.com:9906/fbe07cd68ef14d62ac202ef049f8927c
CCTV16,mitv://ns2.hellotvvod.com:9906/8abfec34cdaf46c3b50eead37f280e4a
廣東影視,mitv://ns2.hellotvvod.com:9906/900f5575470a45749ca2f805b0fc5897
港澳	
港台电视31,mitv://ns2.hellotvvod.com:9906/281b5a64a2774511964b220250d3a50b
港台電視32,mitv://ns2.hellotvvod.com:9906/843a2bbe78e04e48b591437171c977a4
香港開電視,mitv://ns2.hellotvvod.com:9906/f73fa19be7b3483d9cf88d4dba4afa5c
﻿翡翠台(備),mitv://ns2.hellotvvod.com:9906/61ab74d2000c56d914e7a7702f0c341f\t
J2,mitv://ns2.hellotvvod.com:9906/4cb1673dcaa142fc837d55af5e97b30a
無綫新聞台(備),mitv://ns2.hellotvvod.com:9906/60817bc51156443cb72be28db1ffcc84
無綫新聞台,mitv://ns2.hellotvvod.com:9906/0cf6330645cc44f7b97d22d5ca9441f1
無綫財經·資訊台,mitv://ns2.hellotvvod.com:9906/de96703a7b6e46feac2be368e82252e1
ViuTVsix,mitv://ns2.hellotvvod.com:9906/4fa86dfa448d45df98df9f129597c278
ViuTV,mitv://ns2.hellotvvod.com:9906/a97e02a452da4e47b1433c6471aa4c5d
鳳凰中文台,mitv://ns2.hellotvvod.com:9906/64a6a8be835a4cd3881158a262721d4c
鳳凰資訊台,mitv://ns2.hellotvvod.com:9906/9602a18e83c3461eb6b454c19fe3d480
鳳凰香港台,mitv://ns2.hellotvvod.com:9906/a91dbbea21194ed688c45e559254d21d
TVB星河(粵),mitv://ns2.hellotvvod.com:9906/0ca13408158a4fcdb4d1668e5a6f52e3
陽光衛視,mitv://ns2.hellotvvod.com:9906/5e06acc73c4c425bb3c092c0b216f50a
澳門-MACAU,mitv://ns2.hellotvvod.com:9906/0b3257fb484143ffb81cadc2068ef76b
澳門蓮花,mitv://ns2.hellotvvod.com:9906/d044589ea5fa4323bbab9618cf605dd3
now新聞台,mitv://ns2.hellotvvod.com:9906/6c5c2107b6374ac68943117e1227b3a8
now直播台,mitv://ns2.hellotvvod.com:9906/c5dcc18aac5e42b3864cc9ded2f3b192
HKC電影台,mitv://ns2.hellotvvod.com:9906/72135a6b1655425aac569cad66d193ed
鳳凰電影台,mitv://ns2.hellotvvod.com:9906/0fddce5d87fa4106ad1abdb44cefd221
HKC新聞台,mitv://ns2.hellotvvod.com:9906/1934fc53d6f9419d93d2c2e5bbafd53e
HKC財經資訊台,mitv://ns2.hellotvvod.com:9906/96f718f56af244dda9e24cabaec0c2b1
HKC 18,mitv://ns2.hellotvvod.com:9906/88226c997f9b416eb7207aabf76886ea
HKC 603,mitv://ns2.hellotvvod.com:9906/1b14065804c6440ea98e552be9761b17
HKC体育台,mitv://ns2.hellotvvod.com:9906/5888e5e7260148ff81d7ab4d99b921bd
HKC Sports Plus 1,mitv://ns2.hellotvvod.com:9906/cf2fa3a37fca4d5aa351e0e9ff83623c
HKC綜合娛樂台,mitv://ns2.hellotvvod.com:9906/b73cab27b1cc47b08b1f1d81729a753f
TVB娛樂新聞台,mitv://ns2.hellotvvod.com:9906/d93fc65e00bd4e208d4ec09650ec32f7
翡翠台,mitv://ns2.hellotvvod.com:9906/0f5a4554cae3409697427fcaa130bf9d
TVB經典台,mitv://ns2.hellotvvod.com:9906/fbf9d04baec1442b81e44d222677404c
Thrill,mitv://ns2.hellotvvod.com:9906/44fe0bcea2c8494ba09224331767430c
明珠台,mitv://ns2.hellotvvod.com:9906/992d26c48c4f4ebf9f2f38901e57e220
18台,mitv://ns2.hellotvvod.com:9906/f4ab22a2696d49f49067f0655508575a
爆谷星影台,mitv://ns2.hellotvvod.com:9906/a6ea1a01db6e4ff580f0b37a46124d4d
美亞電影台(粵語),mitv://ns2.hellotvvod.com:9906/0c6035961f3a4c85af95274600f66aab
Hands Up,mitv://ns2.hellotvvod.com:9906/41db9fd3ead44ea2b4b67a67cdf11082
粵語片台,mitv://ns2.hellotvvod.com:9906/685621e835404715812616d3edd7967b
亞洲劇台,mitv://ns2.hellotvvod.com:9906/1abdf438cd5346c3889bb77fe3038d41
功夫台,mitv://ns2.hellotvvod.com:9906/bb8c51cf71374de9bce0a73abdb9249c
爆谷台,mitv://ns2.hellotvvod.com:9906/860819ce933b4a08bef6667c974e7fff
馬來西亞,#genre#	
CNN,mitv://ns2.hellotvvod.com:9906/d9992a89cc114c5eb924dbdbf1b6ea6d
TV1,mitv://ns2.hellotvvod.com:9906/3c7305a72a71473cbce3167e54803460
TV2,mitv://ns2.hellotvvod.com:9906/85e72c9e0e224f6ba96c3b5c3175f319
TV3,mitv://ns2.hellotvvod.com:9906/05779fb71efa48d7acccf089a59c23f3
NTV7,mitv://ns2.hellotvvod.com:9906/523d0e3b1b6844629dcf30681538bbbd
八度空間,mitv://ns2.hellotvvod.com:9906/2d14508a896540d8b66a6ff9a7eca667
