央視頻道,#genre#
8K超高清,http://117.148.179.157/PLTV/88888888/224/3221233439/index.m3u8?zzhongd
CCTV4K F,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV4K,http://39.135.55.72:6610/PLTV/88888888/224/3221226998/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV4K,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233400/index.m3u8
CCTV4K,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233454/index.m3u8
CCTV8K,http://117.148.179.146/PLTV/88888888/224/3221233413/index.m3u8
CCTV8K,http://117.148.179.148/PLTV/88888888/224/3221233350/1.m3u8
CCTV8K,http://117.148.179.148:80/PLTV/88888888/224/3221233350/1.m3u8
CCTV8K,http://117.148.179.157/PLTV/88888888/224/3221233413/index.m3u8
CCTV8K,http://117.148.179.157/PLTV/88888888/224/3221233439/index.m3u8
CCTV8K,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233413/index.m3u8
愛上4k,http://111.20.33.93/PLTV/88888893/224/3221226352/index.m3u8
愛上4K,http://111.20.33.93/TVOD/88888893/224/3221226352/index.m3u8
純享4K,http://39.134.115.163:8080/PLTV/88888910/224/3221225786/index.m3u8
純享4k,http://39.135.138.58:18890/PLTV/88888888/224/3221225786/index.m3u8
純享4K,http://39.135.138.59:18890/PLTV/88888910/224/3221225786/index.m3u8
純享4K,http://39.135.138.60:18890/PLTV/88888910/224/3221225786/index.m3u8
純享4k,http://39.135.32.10:6610/000000001000/HD-20M-2160P-chunxiang4k/1.m3u8?IASHttpSessionId=OTT
純享4k,http://39.135.32.10:6610/000000001000/HD-20M-2160P-chunxiang4k/1.m3u8?IASHttpSessionId=OTT
純享4k,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225786/index.m3u8
歡笑劇場4k,http://183.207.255.188/live/program/live/hxjchd/4000000/mnf.m3u8
蘇州4k,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8

##

🇨🇳｜衛視,#genre#
北京衛視HD,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226469/10000100000000060000000000133834_0.smil
東方衛視HD,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226512/10000100000000060000000000356890_0.smil
江蘇衛視HD,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226474/10000100000000060000000000133833_0.smil
浙江衛視HD,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226507/10000100000000060000000000356891_0.smil
湖南衛視HD,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226467/10000100000000060000000000133832_0.smil
湖北衛視HD,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226514/10000100000000060000000000356892_0.smil
黑龍江衛視HD,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226465/10000100000000060000000000133826_0.smil
深圳衛視HD,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226472/10000100000000060000000000133821_0.smil
天津衛視HD,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226509/10000100000000060000000000356893_0.smil
廣東衛視HD,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226525/10000100000000060000000000425466_0.smil
山東衛視HD,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226523/10000100000000060000000000425465_0.smil
安徽衛視HD,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226535/10000100000000060000000000499232_0.smil
四川衛視HD,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226583/10000100000000060000000000623271_0.smil
重慶衛視HD,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226644/10000100000000060000000000623270_0.smil
海南衛視HD,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226693/10000100000000060000000006385285_0.smil
吉林衛視HD,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226729/10000100000000060000000006519579_0.smil
貴州衛視HD,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226746/10000100000000060000000006519582_0.smil
山西衛視SD,rtsp://221.203.83.34:554/PLTV/460033/224/0/3221226042/3221225917.smil
江西衛視SD,rtsp://221.203.83.34:554/PLTV/460033/224/0/3221226046/3221225913.smil
河南衛視SD,rtsp://221.203.83.34:554/PLTV/460033/224/0/3221226048/3221225911.smil
東南衛視SD,rtsp://221.203.83.34:554/PLTV/460033/224/0/3221225853/0000000008p8.smil
廣西衛視SD,rtsp://221.203.83.34:554/PLTV/460033/224/0/3221225943/000000000ace.smil
青海衛視SD,rtsp://221.203.83.34:554/PLTV/88888888/224/0/3221226090/000000000jdd.smil
陜西衛視SD,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226453/iptv127270.smil
河北衛視SD,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226462/iptv127271.smil
雲南衛視SD,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226455/iptv127269.smil
甘肅衛視SD,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226457/iptv8889102159.smil
寧夏衛視SD,rtsp://221.203.83.34:554/PLTV/88888888/224/0/3221226147/iptv112765.smil
廈門衛視SD,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226606/10000100000000060000000000599459_0.smil
延邊衛視SD,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226555/10000100000000060000000000599471_0.smil
內蒙古衛視SD,rtsp://221.203.83.34:554/PLTV/88888888/224/0/3221226104/000000000vfq.smil
安多衛視SD,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226770/10000100000000060000000006704839_0.smil
康巴衛視SD,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226745/10000100000000060000000006704840_0.smil
新疆衛視SD,rtsp://221.203.83.34:554/PLTV/88888888/224/0/3221226149/iptv147985.smil
兵團衛視SD,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226464/iptv8889102157.smil
遼寧衛視HD,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226511/10000100000000060000000000394610_0.smil

##

香港頻道,#genre#

鳳凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8
鳳凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8
鳳凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8

鳳凰資訊,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4_tv2.m3u8
鳳凰資訊,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
鳳凰資訊,http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv2.m3u8
鳳凰香港,http://50.7.220.74:8278/hkphoenix_twn/playlist.m3u8?tid=m5bd7047b492a&ct=18336&tsum=2c3b7b7f9cee713c07f561b51a9e2768
鳳凰中文,http://61.219.170.95:18566/.m3u8
鳳凰中文,http://61.219.170.95:18566/http/192.168.1.9:8078/hls/21/80/phoenixch.m3u8
鳳凰資訊,http://50.7.220.74:8278/phoenixinfo_hd/playlist.m3u8?tid=m7f4a830029be&ct=18336&tsum=74f57bddc0725f74838380086dce3e44
鳳凰資訊,http://61.219.170.95:18565/.m3u8
鳳凰資訊,http://61.219.170.95:18565/http/192.168.1.9:8078/hls/20/80/phoenixif.m3u8
TVB翡翠,http://50.7.168.234:8278/jade_twn/playlist.m3u8?tid=m51e8c5582227&ct=18336&tsum=d0987332bec9b0fecc98b9b9ff3ddeac
TVB星河,http://171.110.62.170:8181/tsfile/live/1004_1.m3u8
TVB星河,http://171.110.62.170:8181/tsfile/live/1189_1.m3u8
J2,http://50.7.220.74:8278/j2_twn/playlist.m3u8?tid=m22905da1d346&ct=18336&tsum=3b4998c4f5367bb820165f66b0caab0e
有線18,rtmp://59.124.75.138:1935/sat/hk041
ViuTV,http://50.7.220.74:8278/9ae6d37d9a/playlist.m3u8?tid=m7728dbb8abe7&ct=18336&tsum=6b7f957f06b7cfabd928653808a52514
##

寶島頻道,#genre#
TVBS HD,http://50.7.220.74:8278/tvbs/playlist.m3u8?tid=MCDC5358450053584500&ct=19193&tsum=e69eb1ebdae5b69772df214072ef9f19
TVBS歡樂,rtmp://59.124.75.138/sat/tv421
TVBS歡樂,rtmp://59.124.75.138:1935/sat/tv421
TVBS歡樂,rtmp://59.124.75.150/sat/tv421
TVBS歡樂台(備份),http://50.7.220.74:8278/tvbshuanle_twn/playlist.m3u8?tid=MC8C2318787923187879&ct=19193&tsum=394d2b9af3df7846e2cdc60d69dd4219
TVBS新聞,rtmp://59.124.75.138/sat/tv551
TVBS新聞,rtmp://59.124.75.138:1935/sat/tv551
TVBS新聞,rtmp://59.124.75.150/sat/tv551
TVBS新聞台,http://50.7.220.74:8278/tvbs_n/playlist.m3u8?tid=MC3C9358473393584733&ct=19193&tsum=38970ab977b9e318cbead37db4134eb8
中天新聞HD,http://50.7.220.74:8278/ctinews/playlist.m3u8?tid=MC3C3915550439155504&ct=19193&tsum=a8168b7967dda9bfebdd5b1403dc19b0
中天亞洲台,http://50.7.220.74:8278/ctiasia_twn/playlist.m3u8?tid=MFFF9983745599837455&ct=19193&tsum=ee61e179a8c619a076c515514d68e24e
中天娛樂,http://50.7.220.74:8278/ctient/playlist.m3u8?tid=MA8A3069789530697895&ct=19193&tsum=20c49fe9e15ad366c6e32b141f03bf8a
中天娛樂,http://61.219.170.95:18521/.m3u8
中天綜合,http://50.7.220.74:8278/ctizhonghe/playlist.m3u8?tid=MBBB1520797915207979&ct=19193&tsum=3a6f7f0c591c2ec6678d51b741f290b2
中視,rtmp://59.124.75.138/sat/tv091
中視,rtmp://59.124.75.138:1935/sat/tv091
中視,rtmp://59.124.75.150/sat/tv091
中視HD,http://50.7.220.74:8278/zhongshihd_twn/playlist.m3u8?tid=MB4B2404962324049623&ct=19193&tsum=671b112a447ed494ae6219c14d0fab93
中視經典,http://50.7.220.74:8278/zhongshi_twn/playlist.m3u8?tid=14379667&ct=17988&tsum=de63d02f44741580b5070077d1949841
中視新聞台,http://50.7.220.74:8278/zhongshinews_twn/playlist.m3u8?tid=MAAA4459856044598560&ct=19193&tsum=1b7bdea69c00cd48e31f13442c75c376
華視,http://50.7.220.74:8278/ctshd_twn/playlist.m3u8?tid=m760743cf1f5e&ct=18335&tsum=9b0d2efb292253075aa4ec25cc439b81
華視,http://50.7.220.74:8278/ctshd_twn/playlist.m3u8?tid=MD3D4860867448608674&ct=19193&tsum=773d4005ddbc68ed16154cc49ba1fc76
華視,rtmp://59.124.75.138/sat/tv111
華視,rtmp://59.124.75.138:1935/sat/tv111
華視,rtmp://59.124.75.150/sat/tv111
民視,http://50.7.220.74:8278/ftvhd_taiwan/playlist.m3u8?tid=MF8F2804739628047396&ct=19193&tsum=73a49379fed74f8fc39359fcf589a9d8
民視,rtmp://59.124.75.138/sat/tv051
民視,rtmp://59.124.75.150/sat/tv051
民視TW,http://50.7.220.74:8278/ftvtaiwan_twn/playlist.m3u8?tid=MDFD6045594360455943&ct=19193&tsum=0de4f998b15ba8f2ecdaa107d866212a
民視新聞,http://50.7.220.74:8278/ftvnew_taiwan/playlist.m3u8?tid=MA8A6605176766051767&ct=19193&tsum=37e8e3780b1b2bf198c95c2e6b3a9746
民視新聞,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8公視,http://50.7.220.74:8278/ctv_taiwan/playlist.m3u8?tid=13765524&ct=17990&tsum=03eb77c1c186944b97737f14e95076c0
公視,http://50.7.220.74:8278/ctv_taiwan/playlist.m3u8?tid=MD4D6839548568395485&ct=19193&tsum=56b3e3b150f4fcbc1877e081b313bcd4
台視,http://50.7.220.74:8278/ttv_taiwan/playlist.m3u8?tid=MEDE4406594744065947&ct=19193&tsum=079f13bae33c63d33bb128fd265e8466
台視,http://61.219.170.95:18543/.m3u8
台視,http://61.219.170.95:18543/http/192.168.1.9:8081/hls/72/814/ch46.m3u8
台視,rtmp://59.124.75.138/sat/tv071
台視,rtmp://59.124.75.138:1935/sat/tv071
台視,rtmp://59.124.75.150/sat/tv071
台視新聞,http://50.7.220.74:8278/ttvnews_twn/playlist.m3u8?tid=MD9D1039476110394761&ct=19193&tsum=9f33349842788bfb7b0e90e93f7bf02c
台視新聞,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
台視新聞,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
台視綜合,http://50.7.220.74:8278/lunghuamovie_twn/playlist.m3u8?tid=mdb73470557ff10965185&ct=17874&tsum=d0a4494eb289910a11f4d305a804136a
台視綜合台,http://50.7.220.74:8278/ttvzhonghe_twn/playlist.m3u8?tid=ME7E1726607517266075&ct=19193&tsum=62eb2defe4597ca9d309e64f432bda52
台灣番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
三立TW,http://50.7.220.74:8278/sanlitaiwan/playlist.m3u8?tid=MBFB2351438523514385&ct=19193&tsum=15393958be0bf6c0905bbb578dad1240
三立都會台,http://50.7.220.74:8278/sanlidouhui/playlist.m3u8?tid=ME7E1312041113120411&ct=19193&tsum=85c3a9808d57adb680980c1bd4c810f1
三立戲劇台,http://50.7.220.74:8278/sanlixiju_twn/playlist.m3u8?tid=MCFC5174201151742011&ct=19193&tsum=27477ddeec029345da276c2c903f09c2
三立綜合,http://50.7.220.74:8278/sanlizhonghe/playlist.m3u8?tid=MB0B8754413687544136&ct=19193&tsum=b815a8eec252a8266b57178e6b336b03
東森美洲,http://38.64.72.148:80/hls/modn/list/2026/chunklist0.m3u8
東森美洲衛視,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
東森財經,rtmp://59.124.75.138/sat/tv571
東森財經新聞,rtmp://59.124.75.150/sat/tv571
東森超視,http://61.219.170.95:18555/.m3u8
東森超視,rtmp://59.124.75.138:1935/sat/tv331
東森電影,http://50.7.220.74:8278/ettvmovie/playlist.m3u8?tid=MEDE1688528216885282&ct=19193&tsum=843fbd698e260c1fcda128dce85ead3b
東森新聞,http://50.7.220.74:8278/ettvnews/playlist.m3u8?tid=ME5E8863997888639978&ct=19193&tsum=6b0236441f10a7195fb35fe7997db68c
東森新聞,http://61.222.202.191/gt/gttv.php?id=13635&cid=13787
東森洋片,http://50.7.220.74:8278/ettvwestern/playlist.m3u8?tid=MA6A9686180296861802&ct=19193&tsum=79b2173b4455c70b50330eed478049a4
八大第一,http://50.7.220.74:8278/badafirst/playlist.m3u8?tid=mb8efded78b4e12042621&ct=17874&tsum=028ad819cd9a0f949a043d652fa3e164
八大第一,http://50.7.220.74:8278/badafirst/playlist.m3u8?tid=MBDB5904995459049954&ct=19193&tsum=ab627e00a84b423b5747a65289eec076
八大第一,http://61.219.170.95:18539/.m3u8
八大第一,http://61.219.170.95:18539/http/192.168.1.9:8081/hls/66/808/ch22.m3u8
八大戲劇,http://50.7.220.74:8278/badadrama/playlist.m3u8?tid=m4970c4e1b988&ct=18335&tsum=20cb1d15d4e116ab9e44edb542cf51a5
八大戲劇,http://50.7.220.74:8278/badadrama/playlist.m3u8?tid=ME3E7432781774327817&ct=19193&tsum=504532547ffc646858157dd724bca18d
八大娛樂t,http://50.7.220.74:8278/badaentertain/playlist.m3u8?tid=MD7D6974615669746156&ct=19193&tsum=db73f162fb4fffda1961ded58a85290c
八大綜合,http://50.7.220.74:8278/badazhonghe/playlist.m3u8?tid=MC5C5422299054222990&ct=19193&tsum=8189d5b21bdeabdffa3d2b2cbeaae0ae
八大綜合,http://61.219.170.95:18517/.m3u8
緯來日本,http://61.219.170.95:18524/.m3u8
緯來日本,rtmp://59.124.75.138/sat/tv771
緯來日本,rtmp://59.124.75.150/sat/tv771
緯來體育,rtmp://59.124.75.138/sat/tv721
緯來體育,rtmp://59.124.75.138:1935/sat/tv721
緯來體育,rtmp://59.124.75.150/sat/tv721
緯來戲劇,http://61.219.170.95:18557/.m3u8
緯來戲劇,http://61.219.170.95:18557/http/192.168.1.9:8081/hls/69/811/ch33.m3u8
緯來育樂,http://61.219.170.95:18541/.m3u8
緯來育樂,http://61.219.170.95:18541/http/192.168.1.9:8081/hls/68/810/ch30.m3u8
緯來育樂,rtmp://59.124.75.138/sat/tv701
緯來育樂,rtmp://59.124.75.138:1935/sat/tv701
緯來育樂,rtmp://59.124.75.150/sat/tv701
緯來綜合,http://61.219.170.95:18540/.m3u8
東風37,http://61.219.170.95:18560/.m3u8
東風衛視,http://61.219.170.95:18560/http/192.168.1.9:8081/hls/68/810/ch31.m3u8
非凡商業,http://61.219.170.95:18510/.m3u8
衛視中文,http://61.219.170.95:18522/.m3u8
衛視中文,http://61.219.170.95:18522/http/192.168.1.9:8081/hls/62/804/ch05.m3u8
海峽衛視,http://61.219.170.95:18533/.m3u8
海峽衛視,http://61.219.170.95:18533/http/192.168.1.9:8077/hls/42/80/fjttv.m3u8
年代MUCH,http://61.219.170.95:18558/.m3u8
人間衛視,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
人間衛視,http://61.219.170.95:18561/.m3u8
人間衛視,http://61.219.170.95:18561/http/192.168.1.9:8081/hls/69/811/ch36.m3u8
大愛,http://61.219.170.95:18567/.m3u8
大愛,http://61.219.170.95:18567/http/192.168.1.9:8081/hls/73/815/ch52.m3u8
大愛2台,http://50.7.220.74:8278/catchplay_twn/playlist.m3u8?tid=MF3F5363033853630338&ct=19193&tsum=bdbc28ff07a38a1de5cf87fc6ffe61b8
TVBS新聞,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
TVBS新聞,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
##

港澳體育,#genre#

ELEVEN2,rtmp://59.124.75.138/sat/md051
ELEVEN2,rtmp://59.124.75.138/sat/tv741
ELEVEN2,rtmp://59.124.75.138:1935/sat/tv741
ELEVEN2,rtmp://59.124.75.150/sat/md051
ELEVEN2,rtmp://59.124.75.150/sat/tv741
ELTA體育1,rtmp://59.124.75.138/sat/md011
ELTA體育1,rtmp://59.124.75.150/sat/md011
ELTA體育2,rtmp://59.124.75.138/sat/md021
ELTA體育2,rtmp://59.124.75.150/sat/md021
ELTA體育3,rtmp://59.124.75.138/sat/md041
ELTA體育3,rtmp://59.124.75.150/sat/md041
博斯網球,rtmp://59.124.75.138/sat/md031
博斯網球,rtmp://59.124.75.150/sat/md031
博斯運動2,rtmp://59.124.75.138:1935/sat/md021
日本體育,http://61.219.170.95:18525/.m3u8
##

港澳動漫,#genre#
Animax,http://61.219.170.95:18550/http/192.168.1.9:8081/hls/70/812/ch39.m3u8
Animax,http://61.219.170.95:18550/.m3u8
Animax,http://61.219.170.95:18550/http/192.168.1.9:8081/hls/70/812/ch39.m3u8
BaBy,http://50.7.220.74:8278/babytv_twn/playlist.m3u8?tid=m7ab1b92a1306&ct=18335&tsum=57086eb57e1cc0c75ba08c75acab2406
BaBy,http://50.7.220.74:8278/babytv_twn/playlist.m3u8?tid=MB3B7827650178276501&ct=18393&tsum=27fb0219125df6a523b97248cdf16d1b
MOMO綜合,http://61.219.170.95:18576/http/192.168.1.9:8081/hls/76/818/momo_max.m3u8
MOMO綜合,http://61.219.170.95:18576/.m3u8
MOMO綜合,rtmp://59.124.75.138/sat/tv761
MOMO綜合,rtmp://59.124.75.138:1935/sat/tv761
MOMO綜合,rtmp://59.124.75.150/sat/tv761

CN,http://50.7.220.74:8278/momo1_twn/playlist.m3u8?tid=MDCD8337337283373372&ct=18393&tsum=3744c35f02ab2207fb7dbbcb450f02d6

##

港澳人文,#genre#
動物星球,http://50.7.220.74:8278/animalplanet_twn/playlist.m3u8?tid=MABA3681856636818566&ct=18393&tsum=2066d4c793195f8449577d35af941288
國家地理野生,http://50.7.220.74:8278/natgeowild_twn/playlist.m3u8?tid=mc9d789e8a1bb12836354&ct=17877&tsum=82c5ce1596dc364c112c79b239c3f5e8
探索亞洲,http://50.7.220.74:8278/discoverytwn_twn/playlist.m3u8?tid=m42a2d91d6f2413622196&ct=17874&tsum=3653c4c61f0a0443dbb256dc465b4715
探索亞洲,http://50.7.220.74:8278/discoverytwn_twn/playlist.m3u8?tid=MAAA4463833744638337&ct=18393&tsum=c4bd4c633430327425e073012785525e
FashionTV,http://50.7.220.74:8278/fashiontv_twn/playlist.m3u8?tid=MABA6457047364570473&ct=18393&tsum=82840dc94ca1ecca47ac4c26d3ee4afc
亞洲旅遊,http://50.7.220.74:8278/asiatravel_twn/playlist.m3u8?tid=ma9ec30da9ef3&ct=18335&tsum=ff0bd9207f2c72a8c9bf38464433dc7d
亞洲旅遊,http://50.7.220.74:8278/asiatravel_twn/playlist.m3u8?tid=MB9B9461769094617690&ct=18393&tsum=57c12e5ba95cca684613ec5e14714ff8
亞洲旅遊,http://61.219.170.95:18568/.m3u8
亞洲旅遊,http://61.219.170.95:18568/http/192.168.1.9:8081/hls/76/818/ch61.m3u8

CNBC,http://61.219.170.95:18551/.m3u8
NHK世界,http://61.219.170.95:18525/http/192.168.1.9:8081/hls/62/804/ch06.m3u8
新加坡CNA,http://50.7.220.74:8278/cna/playlist.m3u8?tid=m75c258e8db6c&ct=18336&tsum=72391487028dc68a70d050b29c3654ee
##


港澳影院,#genre#
AXN TW,http://50.7.220.74:8278/axn_twn/playlist.m3u8?tid=MA1A8358225083582250&ct=19193&tsum=105511aaad1c3ff86d7489e83e18b209
AXN,http://50.7.220.74:8278/axn_twn/playlist.m3u8?tid=m1776995e9b3e16458394&ct=17874&tsum=b8a111d0b13c7761ce8b4e8f047adddb
AXN,http://61.219.170.95:18548/.m3u8
AXN,http://61.219.170.95:18548/http/192.168.1.9:8081/hls/71/813/ch43.m3u8
DMAX,http://50.7.220.74:8278/discoveryturbo_twn/playlist.m3u8?tid=m33a70bc8259c12219783&ct=17877&tsum=b8470668b7a41d6b15a90b7aa43b3279
CINEMAX,http://50.7.220.74:8278/cinemax_twn/playlist.m3u8?tid=MCEC1614519816145198&ct=19193&tsum=e635ddeeb683b5cbcda1319d0cc18f84
HBO Family,http://50.7.220.74:8278/fyi_twn/playlist.m3u8?tid=18186902&ct=17988&&tsum=7a21abab0a5912afb0ebc01db111e59f
HBO HD,http://50.7.220.74:8278/hbohd_twn/playlist.m3u8?tid=MBBB7425808074258080&ct=19193&tsum=a0bdd395bfc4cf07d9414d5372f59ad2
HBO HITS,http://50.7.220.74:8278/hbohead_twn/playlist.m3u8?tid=MCDC6663932966639329&ct=19193&tsum=6999a99699b097f3af2ef550e5c81f93
